time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-08-27T22:09:32.960Z,19.0891,-68.6635,24,2.86,md,4,317,0.6406,0.33,pr,pr2017239016,2017-08-28T01:17:23.210Z,"42km ENE of Miches, Dominican Republic",earthquake,3.48,25.32,0.25,4,reviewed,pr,pr
2017-08-27T22:07:40.790Z,19.1035,-68.5748,24,3.43,md,16,299,0.6205,0.5,pr,pr2017239014,2017-08-27T22:52:49.510Z,"51km ENE of Miches, Dominican Republic",earthquake,3.99,35.03,0.32,10,reviewed,pr,pr
2017-08-27T21:24:42.590Z,35.7871,-98.566,8.47,3.5,mb_lg,,21,0.173,0.58,us,us2000acba,2017-08-28T18:51:52.201Z,"15km WSW of Watonga, Oklahoma",earthquake,1.7,4.7,0.05,106,reviewed,us,us
2017-08-27T20:59:26.570Z,60.367,-147.3801,9.4,2.6,ml,,,,0.77,ak,ak16715392,2017-08-27T21:03:58.206Z,"84km ESE of Whittier, Alaska",earthquake,,0.1,,,automatic,ak,ak
2017-08-27T20:49:02.980Z,19.1278,-68.5795,24,3.31,md,11,307,0.6451,0.39,pr,pr2017239015,2017-08-28T01:17:03.661Z,"51km ENE of Miches, Dominican Republic",earthquake,3.32,28.78,0.26,9,reviewed,pr,pr
2017-08-27T20:34:42.050Z,44.7856667,-111.0145,12.95,2.8,ml,29,46,0.027,0.19,uu,uu60228207,2017-08-28T16:32:44.159Z,"15km NNE of West Yellowstone, Montana",earthquake,0.42,0.55,0.149,8,reviewed,uu,uu
2017-08-27T19:47:53.560Z,44.7896667,-111.0108333,11.24,2.83,ml,29,48,0.03052,0.14,uu,uu60228157,2017-08-28T15:32:11.690Z,"15km NNE of West Yellowstone, Montana",earthquake,0.3,0.36,0.199,10,reviewed,uu,uu
2017-08-27T19:46:55.110Z,34.506,-118.6421667,17.6,3.43,ml,156,18,0.02343,0.24,ci,ci37985792,2017-08-28T19:14:57.753Z,"3km NW of Castaic, CA",earthquake,0.13,0.29,0.159,352,reviewed,ci,ci
2017-08-27T16:25:28.990Z,19.3063,-67.4055,72,2.9,md,8,299,0.8889,0.45,pr,pr2017239013,2017-08-27T22:14:09.588Z,"95km NNW of San Antonio, Puerto Rico",earthquake,5.27,11.26,0.16,4,reviewed,pr,pr
2017-08-27T16:10:58.530Z,19.2951,-67.3201,57,3.25,md,14,238,0.9244,0.54,pr,pr2017239009,2017-08-27T17:13:44.040Z,"87km NNW of San Antonio, Puerto Rico",earthquake,4.47,12.82,0.3,11,reviewed,pr,pr
2017-08-27T15:37:27.740Z,19.2901,-67.3503,24,3.03,md,9,296,0.8567,0.39,pr,pr2017239017,2017-08-28T00:46:54.878Z,"92km NNW of San Antonio, Puerto Rico",earthquake,2.21,29.19,0.47,3,reviewed,pr,pr
2017-08-27T15:32:18.740Z,19.932,-64.478,24,3.44,md,12,307,2.1263,0.45,pr,pr2017239012,2017-08-27T21:24:56.222Z,"168km N of Road Town, British Virgin Islands",earthquake,3.05,37.87,0.24,8,reviewed,pr,pr
2017-08-27T15:20:50.720Z,19.2618,-67.4461,65,3.05,md,9,299,0.862,0.54,pr,pr2017239011,2017-08-27T20:56:49.239Z,"92km NNW of San Antonio, Puerto Rico",earthquake,5.18,11.05,0.09,6,reviewed,pr,pr
2017-08-27T15:09:09.160Z,19.3455,-67.4458,67,3.17,md,13,289,0.9395,0.32,pr,pr2017239008,2017-08-27T16:46:58.040Z,"94km NNW of San Antonio, Puerto Rico",earthquake,3.41,7.92,0.31,11,reviewed,pr,pr
2017-08-27T15:01:57.740Z,19.3181,-67.4535,60,3.22,md,12,288,0.9168,0.47,pr,pr2017239006,2017-08-27T16:43:25.040Z,"88km NNW of San Antonio, Puerto Rico",earthquake,3.84,9.53,0.23,10,reviewed,pr,pr
2017-08-27T15:01:16.460Z,37.2341,-97.5703,2.29,2.9,mb_lg,,87,0.013,0.28,us,us2000ac9f,2017-08-28T14:33:34.779Z,"17km W of Wellington, Kansas",earthquake,1.4,2.9,0.058,77,reviewed,us,us
2017-08-27T15:00:34.290Z,19.3291,-67.3148,57,3,md,6,321,0.8853,0.34,pr,pr2017239010,2017-08-27T20:47:52.040Z,"94km NNW of San Antonio, Puerto Rico",earthquake,3.92,11.3,0.19,4,reviewed,pr,pr
2017-08-27T14:54:45.940Z,19.299,-67.292,42,4.18,md,19,251,0.8509,0.41,pr,pr2017239007,2017-08-27T16:34:09.040Z,"85km NNW of San Antonio, Puerto Rico",earthquake,2.59,9.91,0.29,12,reviewed,pr,pr
2017-08-27T14:22:39.980Z,-1.5144,148.1125,10,4.9,mb,,74,0.912,0.82,us,us2000ac96,2017-08-27T16:22:17.040Z,"109km ENE of Lorengau, Papua New Guinea",earthquake,8.5,1.9,0.07,64,reviewed,us,us
2017-08-27T13:52:19.370Z,-1.4783,148.0731,10,5.1,mb,,32,0.902,0.97,us,us2000ac8x,2017-08-27T22:17:17.469Z,"107km NE of Lorengau, Papua New Guinea",earthquake,4.2,1.8,0.048,141,reviewed,us,us
2017-08-27T13:46:43.510Z,19.2945,-67.3643,54,2.85,md,19,238,0.8649,0.44,pr,pr2017239004,2017-08-27T14:49:00.040Z,"96km NNW of San Antonio, Puerto Rico",earthquake,3.22,8.92,0.32,17,reviewed,pr,pr
2017-08-27T13:39:54.300Z,19.343,-67.349,40,3.25,md,14,240,0.9072,0.51,pr,pr2017239003,2017-08-27T16:38:53.040Z,"82km NNW of San Antonio, Puerto Rico",earthquake,3.69,16.32,0.21,14,reviewed,pr,pr
2017-08-27T13:27:37.147Z,65.6522,-165.923,18.7,3.4,ml,,,,0.43,ak,ak16706727,2017-08-27T17:05:40.040Z,"67km S of Shishmaref, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-08-27T13:06:41.062Z,59.3554,-153.5824,108.3,3.4,ml,,,,0.73,ak,ak16705333,2017-08-27T13:21:21.736Z,"87km ESE of Old Iliamna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-08-27T12:27:27.077Z,58.3963,-137.8888,0,2.5,ml,,,,0.69,ak,ak16705297,2017-08-27T12:31:39.449Z,"125km W of Gustavus, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-08-27T12:24:52.600Z,33.5862,73.0028,30.89,4.6,mb,,171,0.23,1.3,us,us2000ac8j,2017-08-28T02:21:26.617Z,"6km WSW of Rawalpindi, Pakistan",earthquake,9.6,7.1,0.116,22,reviewed,us,us
2017-08-27T12:07:21.090Z,18.2386,-67.663,99,2.69,md,7,296,0.2347,0.34,pr,pr2017239005,2017-08-27T14:33:06.646Z,"44km WSW of Stella, Puerto Rico",earthquake,3.72,1.88,0.22,7,reviewed,pr,pr
2017-08-27T10:38:58.790Z,9.044,-83.9156,25.71,4.8,mb,,135,0.41,1.18,us,us2000ac8c,2017-08-28T04:29:12.067Z,"42km SW of Daniel Flores, Costa Rica",earthquake,5,3.7,0.049,127,reviewed,us,us
2017-08-27T08:15:16.980Z,37.9578,-62.2696,10,4.1,mb,,185,5.917,1.29,us,us2000ac81,2017-08-28T05:23:44.040Z,"North Atlantic Ocean",earthquake,5.7,2,0.107,24,reviewed,us,us
2017-08-27T08:02:04.203Z,38.8354,-118.8188,10,2.8,ml,38,63.34,0.361,0.1816,nn,nn00602318,2017-08-28T09:39:50.021Z,"34km ESE of Yerington, Nevada",earthquake,,2,0.27,20,reviewed,nn,nn
2017-08-27T07:51:27.716Z,60.4406,-151.923,72.2,4.4,ml,,,,1.34,ak,ak16699643,2017-08-28T00:46:41.247Z,"32km W of Kalifornsky, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-08-27T06:12:31.685Z,58.015,-154.3379,3.6,2.7,ml,,,,0.54,ak,ak16696917,2017-08-27T06:30:00.999Z,"57km NNW of Larsen Bay, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-08-27T04:59:10.420Z,73.5202,8.4102,10,4.5,mb,,101,5.065,0.94,us,us2000ac7e,2017-08-27T05:18:26.040Z,"Greenland Sea",earthquake,4,1.9,0.061,81,reviewed,us,us
2017-08-27T04:17:50.980Z,-1.4539,148.0562,8.05,6.4,mww,,18,0.904,1.04,us,us2000ac7a,2017-08-28T15:27:33.040Z,"107km NE of Lorengau, Papua New Guinea",earthquake,6.7,4.2,0.063,24,reviewed,us,us
2017-08-27T04:11:56.350Z,46.8765,-112.533,12.53,2.59,ml,29,77,0.044,0.21,mb,mb80247999,2017-08-27T13:37:19.540Z,"14km SE of Lincoln, Montana",earthquake,0.36,0.32,0.325,11,reviewed,mb,mb
2017-08-27T03:12:10.850Z,33.1848333,-115.6028333,2.16,2.57,ml,40,87,0.01301,0.26,ci,ci37985112,2017-08-27T03:59:14.833Z,"10km SW of Niland, CA",earthquake,0.34,0.43,0.162,26,automatic,ci,ci
2017-08-27T02:48:23.354Z,61.9362,-151.3077,69.6,2.5,ml,,,,0.55,ak,ak16692813,2017-08-27T03:02:48.259Z,"70km WNW of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-08-27T02:26:03.840Z,36.8152,140.7106,4.32,5,mb,,116,1.053,1.27,us,us2000ac6k,2017-08-27T13:21:15.861Z,"4km NW of Kitaibaraki, Japan",earthquake,6.2,4.5,0.031,336,reviewed,us,us
2017-08-27T01:55:29.860Z,-3.4472,136.1944,52.14,4.5,mb,,99,3.974,0.88,us,us2000ac6e,2017-08-27T02:14:05.040Z,"54km NNW of Enarotali, Indonesia",earthquake,10.7,7.7,0.111,26,reviewed,us,us
2017-08-27T01:45:57.790Z,64.5058,-17.8426,10,4.4,mb,,127,1.52,1.35,us,us2000ac6d,2017-08-27T02:02:02.040Z,"130km WNW of Hofn, Iceland",earthquake,9.6,1.9,0.072,55,reviewed,us,us
